[11-26 16:50:21][INFORMATION]	@logistics_agent/LogisticsAgent:	Logistics Agent initialised. I have 3 Parts in my grid; ;  SupplyCrate: GC4x4MB_1;  productCratePart: GC4x4MB_2;  whitePaper: Paper; 
[11-26 16:50:34][INFORMATION]	@equiplet_agent/InitialisationFinished:	EquipletAgent EQ1 fully initialized. Current modules loaded; huniplacer delta robot, pencil module;  My current capabilities are: [3]; 
[11-26 16:50:34][INFORMATION]	@equiplet_agent/InitialisationFinished:	EquipletAgent EQ2 fully initialized. Current modules loaded; huniplacer delta robot, huniplacer gripper;  My current capabilities are: [1, 2]; 
[11-26 16:51:16][INFORMATION]	@product_agent/ProductAgent:		Productagent pa14 fully initialized. ;  Product Agent spawned with and product with 503 product steps. My current deadline is: -1
[11-26 16:51:17][INFORMATION]	@hardware_agent/DeltaRobotModule:	Moving to x: -28.000000, y: -30.000000.
[11-26 16:51:17][INFORMATION]	@hardware_agent/DeltaRobotModule:	Moving to z: null
[11-26 16:51:17][INFORMATION]	@hardware_agent/DeltaRobotModule:	Moving to z: null
[11-26 16:51:17][NOTIFICATION]	@service_agent/ServiceStepDuration:	Total duration of ServiceStep: 177 time slots.
[11-26 16:51:17][INFORMATION]	@hardware_agent/DeltaRobotModule:	Moving to x: -26.000000, y: -30.000000.
[11-26 16:51:17][INFORMATION]	@hardware_agent/DeltaRobotModule:	Moving to z: null
[11-26 16:51:17][INFORMATION]	@hardware_agent/DeltaRobotModule:	Moving to z: null
[11-26 16:51:17][NOTIFICATION]	@service_agent/ServiceStepDuration:	Total duration of ServiceStep: 177 time slots.
[11-26 16:51:17][INFORMATION]	@hardware_agent/DeltaRobotModule:	Moving to x: -24.000000, y: -30.000000.
[11-26 16:51:17][INFORMATION]	@hardware_agent/DeltaRobotModule:	Moving to z: null
[11-26 16:51:17][INFORMATION]	@hardware_agent/DeltaRobotModule:	Moving to z: null
[11-26 16:51:17][INFORMATION]	@hardware_agent/DeltaRobotModule:	Moving to x: -20.000000, y: -30.000000.
[11-26 16:51:17][INFORMATION]	@hardware_agent/DeltaRobotModule:	Moving to z: null
[11-26 16:51:17][INFORMATION]	@hardware_agent/DeltaRobotModule:	Moving to z: null
[11-26 16:51:17][NOTIFICATION]	@service_agent/ServiceStepDuration:	Total duration of ServiceStep: 177 time slots.
[11-26 16:51:17][NOTIFICATION]	@service_agent/ServiceStepDuration:	Total duration of ServiceStep: 177 time slots.
[11-26 16:51:17][INFORMATION]	@hardware_agent/DeltaRobotModule:	Moving to x: -18.000000, y: -30.000000.
[11-26 16:51:17][INFORMATION]	@hardware_agent/DeltaRobotModule:	Moving to z: null
[11-26 16:51:17][INFORMATION]	@hardware_agent/DeltaRobotModule:	Moving to z: null
[11-26 16:51:17][NOTIFICATION]	@service_agent/ServiceStepDuration:	Total duration of ServiceStep: 177 time slots.
[11-26 16:51:17][INFORMATION]	@hardware_agent/DeltaRobotModule:	Moving to x: -12.000000, y: -30.000000.
[11-26 16:51:17][INFORMATION]	@hardware_agent/DeltaRobotModule:	Moving to z: null
[11-26 16:51:17][INFORMATION]	@hardware_agent/DeltaRobotModule:	Moving to z: null
[11-26 16:51:17][NOTIFICATION]	@service_agent/ServiceStepDuration:	Total duration of ServiceStep: 177 time slots.
[11-26 16:51:17][INFORMATION]	@hardware_agent/DeltaRobotModule:	Moving to x: -16.000000, y: -30.000000.
[11-26 16:51:17][INFORMATION]	@hardware_agent/DeltaRobotModule:	Moving to z: null
[11-26 16:51:17][INFORMATION]	@hardware_agent/DeltaRobotModule:	Moving to z: null
[11-26 16:51:17][NOTIFICATION]	@service_agent/ServiceStepDuration:	Total duration of ServiceStep: 177 time slots.
[11-26 16:51:17][INFORMATION]	@hardware_agent/DeltaRobotModule:	Moving to x: -10.000000, y: -30.000000.
[11-26 16:51:17][INFORMATION]	@hardware_agent/DeltaRobotModule:	Moving to z: null
[11-26 16:51:17][INFORMATION]	@hardware_agent/DeltaRobotModule:	Moving to z: null
[11-26 16:51:17][INFORMATION]	@hardware_agent/DeltaRobotModule:	Moving to x: -4.000000, y: -30.000000.
[11-26 16:51:17][INFORMATION]	@hardware_agent/DeltaRobotModule:	Moving to z: null
[11-26 16:51:17][INFORMATION]	@hardware_agent/DeltaRobotModule:	Moving to z: null
[11-26 16:51:17][NOTIFICATION]	@service_agent/ServiceStepDuration:	Total duration of ServiceStep: 177 time slots.
[11-26 16:51:17][NOTIFICATION]	@service_agent/ServiceStepDuration:	Total duration of ServiceStep: 177 time slots.
[11-26 16:51:17][INFORMATION]	@hardware_agent/DeltaRobotModule:	Moving to x: -2.000000, y: -30.000000.
[11-26 16:51:17][INFORMATION]	@hardware_agent/DeltaRobotModule:	Moving to z: null
[11-26 16:51:17][INFORMATION]	@hardware_agent/DeltaRobotModule:	Moving to z: null
[11-26 16:51:17][NOTIFICATION]	@service_agent/ServiceStepDuration:	Total duration of ServiceStep: 177 time slots.
[11-26 16:51:17][INFORMATION]	@hardware_agent/DeltaRobotModule:	Moving to x: 0.000000, y: -30.000000.
[11-26 16:51:17][INFORMATION]	@hardware_agent/DeltaRobotModule:	Moving to z: null
[11-26 16:51:17][INFORMATION]	@hardware_agent/DeltaRobotModule:	Moving to z: null
[11-26 16:51:17][NOTIFICATION]	@service_agent/ServiceStepDuration:	Total duration of ServiceStep: 177 time slots.
[11-26 16:51:17][INFORMATION]	@hardware_agent/DeltaRobotModule:	Moving to x: 4.000000, y: -30.000000.
[11-26 16:51:17][INFORMATION]	@hardware_agent/DeltaRobotModule:	Moving to z: null
[11-26 16:51:17][INFORMATION]	@hardware_agent/DeltaRobotModule:	Moving to z: null
[11-26 16:51:17][NOTIFICATION]	@service_agent/ServiceStepDuration:	Total duration of ServiceStep: 177 time slots.
[11-26 16:51:17][INFORMATION]	@hardware_agent/DeltaRobotModule:	Moving to x: 6.000000, y: -30.000000.
[11-26 16:51:17][INFORMATION]	@hardware_agent/DeltaRobotModule:	Moving to z: null
[11-26 16:51:17][INFORMATION]	@hardware_agent/DeltaRobotModule:	Moving to z: null
[11-26 16:51:17][NOTIFICATION]	@service_agent/ServiceStepDuration:	Total duration of ServiceStep: 177 time slots.
[11-26 16:51:17][INFORMATION]	@hardware_agent/DeltaRobotModule:	Moving to x: 12.000000, y: -30.000000.
[11-26 16:51:17][INFORMATION]	@hardware_agent/DeltaRobotModule:	Moving to z: null
[11-26 16:51:17][INFORMATION]	@hardware_agent/DeltaRobotModule:	Moving to z: null
[11-26 16:51:17][NOTIFICATION]	@service_agent/ServiceStepDuration:	Total duration of ServiceStep: 177 time slots.
[11-26 16:51:17][INFORMATION]	@hardware_agent/DeltaRobotModule:	Moving to x: 16.000000, y: -30.000000.
[11-26 16:51:17][INFORMATION]	@hardware_agent/DeltaRobotModule:	Moving to z: null
[11-26 16:51:17][INFORMATION]	@hardware_agent/DeltaRobotModule:	Moving to z: null
[11-26 16:51:17][INFORMATION]	@hardware_agent/DeltaRobotModule:	Moving to x: -28.000000, y: -28.000000.
[11-26 16:51:17][INFORMATION]	@hardware_agent/DeltaRobotModule:	Moving to z: null
[11-26 16:51:17][INFORMATION]	@hardware_agent/DeltaRobotModule:	Moving to z: null
[11-26 16:51:17][NOTIFICATION]	@service_agent/ServiceStepDuration:	Total duration of ServiceStep: 177 time slots.
[11-26 16:51:17][NOTIFICATION]	@service_agent/ServiceStepDuration:	Total duration of ServiceStep: 177 time slots.
[11-26 16:51:17][INFORMATION]	@hardware_agent/DeltaRobotModule:	Moving to x: -24.000000, y: -28.000000.
[11-26 16:51:17][INFORMATION]	@hardware_agent/DeltaRobotModule:	Moving to z: null
[11-26 16:51:17][INFORMATION]	@hardware_agent/DeltaRobotModule:	Moving to z: null
[11-26 16:51:18][NOTIFICATION]	@service_agent/ServiceStepDuration:	Total duration of ServiceStep: 177 time slots.
[11-26 16:51:18][INFORMATION]	@hardware_agent/DeltaRobotModule:	Moving to x: -20.000000, y: -28.000000.
[11-26 16:51:18][INFORMATION]	@hardware_agent/DeltaRobotModule:	Moving to z: null
[11-26 16:51:18][INFORMATION]	@hardware_agent/DeltaRobotModule:	Moving to z: null
[11-26 16:51:18][NOTIFICATION]	@service_agent/ServiceStepDuration:	Total duration of ServiceStep: 177 time slots.
[11-26 16:51:18][INFORMATION]	@hardware_agent/DeltaRobotModule:	Moving to x: -16.000000, y: -28.000000.
[11-26 16:51:18][INFORMATION]	@hardware_agent/DeltaRobotModule:	Moving to z: null
[11-26 16:51:18][INFORMATION]	@hardware_agent/DeltaRobotModule:	Moving to z: null
[11-26 16:51:18][INFORMATION]	@hardware_agent/DeltaRobotModule:	Moving to x: -12.000000, y: -28.000000.
[11-26 16:51:18][NOTIFICATION]	@service_agent/ServiceStepDuration:	Total duration of ServiceStep: 177 time slots.
[11-26 16:51:18][INFORMATION]	@hardware_agent/DeltaRobotModule:	Moving to z: null
[11-26 16:51:18][INFORMATION]	@hardware_agent/DeltaRobotModule:	Moving to z: null
[11-26 16:51:18][NOTIFICATION]	@service_agent/ServiceStepDuration:	Total duration of ServiceStep: 177 time slots.
[11-26 16:51:18][INFORMATION]	@hardware_agent/DeltaRobotModule:	Moving to x: -8.000000, y: -28.000000.
[11-26 16:51:18][INFORMATION]	@hardware_agent/DeltaRobotModule:	Moving to z: null
[11-26 16:51:18][INFORMATION]	@hardware_agent/DeltaRobotModule:	Moving to z: null
[11-26 16:51:18][NOTIFICATION]	@service_agent/ServiceStepDuration:	Total duration of ServiceStep: 177 time slots.
[11-26 16:51:18][INFORMATION]	@hardware_agent/DeltaRobotModule:	Moving to x: -4.000000, y: -28.000000.
[11-26 16:51:18][INFORMATION]	@hardware_agent/DeltaRobotModule:	Moving to z: null
[11-26 16:51:18][INFORMATION]	@hardware_agent/DeltaRobotModule:	Moving to z: null
[11-26 16:51:18][NOTIFICATION]	@service_agent/ServiceStepDuration:	Total duration of ServiceStep: 177 time slots.
[11-26 16:51:18][INFORMATION]	@hardware_agent/DeltaRobotModule:	Moving to x: 0.000000, y: -28.000000.
[11-26 16:51:18][INFORMATION]	@hardware_agent/DeltaRobotModule:	Moving to z: null
[11-26 16:51:18][INFORMATION]	@hardware_agent/DeltaRobotModule:	Moving to z: null
[11-26 16:51:18][INFORMATION]	@hardware_agent/DeltaRobotModule:	Moving to x: 4.000000, y: -28.000000.
[11-26 16:51:18][INFORMATION]	@hardware_agent/DeltaRobotModule:	Moving to z: null
[11-26 16:51:18][INFORMATION]	@hardware_agent/DeltaRobotModule:	Moving to z: null
[11-26 16:51:18][NOTIFICATION]	@service_agent/ServiceStepDuration:	Total duration of ServiceStep: 177 time slots.
[11-26 16:51:18][NOTIFICATION]	@service_agent/ServiceStepDuration:	Total duration of ServiceStep: 177 time slots.
[11-26 16:51:18][INFORMATION]	@hardware_agent/DeltaRobotModule:	Moving to x: 8.000000, y: -28.000000.
[11-26 16:51:18][INFORMATION]	@hardware_agent/DeltaRobotModule:	Moving to z: null
[11-26 16:51:18][INFORMATION]	@hardware_agent/DeltaRobotModule:	Moving to z: null
[11-26 16:51:18][NOTIFICATION]	@service_agent/ServiceStepDuration:	Total duration of ServiceStep: 177 time slots.
[11-26 16:51:18][INFORMATION]	@hardware_agent/DeltaRobotModule:	Moving to x: -26.000000, y: -26.000000.
[11-26 16:51:18][INFORMATION]	@hardware_agent/DeltaRobotModule:	Moving to z: null
[11-26 16:51:18][INFORMATION]	@hardware_agent/DeltaRobotModule:	Moving to z: null
[11-26 16:51:18][NOTIFICATION]	@service_agent/ServiceStepDuration:	Total duration of ServiceStep: 177 time slots.
[11-26 16:51:18][INFORMATION]	@hardware_agent/DeltaRobotModule:	Moving to x: -28.000000, y: -26.000000.
[11-26 16:51:18][INFORMATION]	@hardware_agent/DeltaRobotModule:	Moving to z: null
[11-26 16:51:18][INFORMATION]	@hardware_agent/DeltaRobotModule:	Moving to z: null
[11-26 16:51:18][NOTIFICATION]	@service_agent/ServiceStepDuration:	Total duration of ServiceStep: 177 time slots.
[11-26 16:51:18][INFORMATION]	@hardware_agent/DeltaRobotModule:	Moving to x: -24.000000, y: -26.000000.
[11-26 16:51:18][INFORMATION]	@hardware_agent/DeltaRobotModule:	Moving to z: null
[11-26 16:51:18][INFORMATION]	@hardware_agent/DeltaRobotModule:	Moving to z: null
[11-26 16:51:18][NOTIFICATION]	@service_agent/ServiceStepDuration:	Total duration of ServiceStep: 177 time slots.
[11-26 16:51:18][INFORMATION]	@hardware_agent/DeltaRobotModule:	Moving to x: -20.000000, y: -26.000000.
